move_number,move_uci,player_name,time_taken_ms,centipawn_score,board_fen
1,e2e4,PHI,4819.428099999641,36,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,b8c6,MIXTRAL,47035.76310000062,71,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2
2,g1h3,PHI,9815.361000000848,-70,r1bqkbnr/pppppppp/2n5/8/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 2 2
3,c6e5,MIXTRAL,48384.65870000073,100,r1bqkbnr/pppppppp/8/4n3/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 3 3
3,g2g3,PHI,9750.022000000172,-45,r1bqkbnr/pppppppp/8/4n3/4P3/6PN/PPPP1P1P/RNBQKB1R b KQkq - 0 3
4,a8b8,MIXTRAL,48684.991099999024,118,1rbqkbnr/pppppppp/8/4n3/4P3/6PN/PPPP1P1P/RNBQKB1R w KQk - 1 4
4,g3g4,PHI,10066.903700000694,-178,1rbqkbnr/pppppppp/8/4n3/4P1P1/7N/PPPP1P1P/RNBQKB1R b KQk - 0 4
5,e5g6,MIXTRAL,48625.8067000017,18,1rbqkbnr/pppppppp/6n1/8/4P1P1/7N/PPPP1P1P/RNBQKB1R w KQk - 1 5
5,g4g5,PHI,9732.90740000084,-126,1rbqkbnr/pppppppp/6n1/6P1/4P3/7N/PPPP1P1P/RNBQKB1R b KQk - 0 5
6,g6e5,MIXTRAL,48353.4596999998,130,1rbqkbnr/pppppppp/8/4n1P1/4P3/7N/PPPP1P1P/RNBQKB1R w KQk - 1 6
6,g5g6,PHI,9706.565099999352,-133,1rbqkbnr/pppppppp/6P1/4n3/4P3/7N/PPPP1P1P/RNBQKB1R b KQk - 0 6
7,e5g6,MIXTRAL,48818.28459999997,-152,1rbqkbnr/pppppppp/6n1/8/4P3/7N/PPPP1P1P/RNBQKB1R w KQk - 0 7
7,d2d3,PHI,9750.856799999383,-215,1rbqkbnr/pppppppp/6n1/8/4P3/3P3N/PPP2P1P/RNBQKB1R b KQk - 0 7
8,g8h6,MIXTRAL,48851.743799999895,-116,1rbqkb1r/pppppppp/6nn/8/4P3/3P3N/PPP2P1P/RNBQKB1R w KQk - 1 8
8,e4e5,PHI,9774.953500000265,-248,1rbqkb1r/pppppppp/6nn/4P3/8/3P3N/PPP2P1P/RNBQKB1R b KQk - 0 8
9,h6g8,MIXTRAL,48374.93639999957,-165,1rbqkbnr/pppppppp/6n1/4P3/8/3P3N/PPP2P1P/RNBQKB1R w KQk - 1 9
